gene_id	gene_name	CBA_001	CBA_002	CBA_003	CBA_004	CBA_005	CBA_006	CBA_007	CBA_008	CBA_009	CBA_010
AATK-AS1	AATK-AS1	0	0	0	0	0	0	0	0	0	0
ABAT	ABAT	0	0	3	0	3	1	0	1	0	0
ABCA1	ABCA1	53	70	65	28	39	24	34	185	89	143
ABCA10	ABCA10	4	0	1.002	5.017	1	0	1	8	0	2
ABCA11P	ABCA11P	78.774	69	67.362	72.191	98.397	71.187	78.129	57	16.471	24
ABCA12	ABCA12	1	0	0	4	0	1	0	2	0	2
ABCA13	ABCA13	84	57	149	217	82	65	182	521	4	3
ABCA17P	ABCA17P	2	4	14	9	3	6	6	3	0	1
ABCA2	ABCA2	6	1	15	14	3	11	2	6	0	8
ABCA3	ABCA3	14	13	15	19	16	24	27	19	2	4
ABCA4	ABCA4	2	0	5	6	4	2	2	2	1	0
ABCA5	ABCA5	154	117	155	210	166	82	152	242	38	65
ABCA6	ABCA6	0	2	5	3	1	11	3	16	0	0
ABCA7	ABCA7	1	2	4	8	1	1	1	5	0	1
ABCA8	ABCA8	0	0	1	3	0	0	0	3	0	0
ABCA9	ABCA9	0	1	0	4	1	0	0	0	0	0
ABCB1	ABCB1	3	2	0	2	0	0	0	0	0	0
ABCB10	ABCB10	235	171	224	248	211	172	238	167	198	243
ABCB11	ABCB11	0	0	0	0	0	0	0	0	0	0
ABCB4	ABCB4	0	0	0	0	0	0	0	2	0	0
ABCB5	ABCB5	9	5	9.999	12	9	3	5	2	3	1
ABCB6	ABCB6	44	17	71	75	45	62	43	35	14	23
ABCB7	ABCB7	168	122	147.001	166	131	114	245	136	68	69
ABCB8	ABCB8	22	21	34	38	12	38	25	21	0	26
ABCB9	ABCB9	8	6	10	14	7	4	7	7	0	4
ABCC1	ABCC1	74	37	51	67	66	45	76	52	40	102
ABCC10	ABCC10	18	13	13	17	18	11	20	5	3	15
ABCC11	ABCC11	0	0	2	0	1	0	0	0	0	0
ABCC12	ABCC12	2	0	0	0	0	0	0	0	0	0
ABCC13	ABCC13	0	0	0	0	0	0	0	0	0	0
ABCC2	ABCC2	3	2	0	2	0	1	2	1	0	0
ABCC3	ABCC3	64	58	102	121.001	85	94	98	81	38	92
ABCC4	ABCC4	375.999	301	407	459.999	606	366	526	310	163	178
ABCC5	ABCC5	93	90	118	81	109	98	125	81	20	51
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0	0	0	0	0
ABCC6	ABCC6	6.635	5.055	4.688	3.458	4.981	1.837	1	14.723	7	12.826
ABCC6P1	ABCC6P1	0	0	0	0	0	0	0	0	0	0
ABCC6P2	ABCC6P2	3.365	12.945	8.312	15.542	8.019	7.163	3	11.276	0	2.174
ABCC8	ABCC8	0	0	0	1	0	0	0	0	0	0
ABCC9	ABCC9	79	87	41	17	75	53	55	20	21	9
ABCD1	ABCD1	11	17	15	8	7	5	11	4	1	4
ABCD2	ABCD2	0	0	3	3	0	0	2	1	2	0
ABCD3	ABCD3	754.001	460.001	824	950	871.815	602	1030	664	378	435
ABCD4	ABCD4	46	50	55	49	31	38	35	37	12	31
ABCE1	ABCE1	3580	2628	3414	3610	5743	3140	6336	2895	754	371
ABCF1	ABCF1	411	313	582	548	381	507	609	327	92	113
ABCF2	ABCF2	547	318	654	504	369	497	538	231	71	81
ABCF3	ABCF3	49	38	64	116	29	74	83	38	14	23
ABCG1	ABCG1	0	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	9	4	10	9	6	16	20	5	0	1
ABCG4	ABCG4	0	0	0	1	0	0	0	0	0	0
ABCG5	ABCG5	0	0	0	1	0	0	0	0	0	0
ABCG8	ABCG8	0	0	0	0	0	0	0	1	0	0
ABHD1	ABHD1	16	11	13	19	15	13	9	8	10	13
ABHD10	ABHD10	599	454	611	753	516	413	597	434	223	199.001
ABHD11	ABHD11	209.999	180.999	294.001	312.999	260	273	280	161.001	17	21
ABHD12	ABHD12	712	532	969	828	554	872	878	367	73	120.999
ABHD12B	ABHD12B	4	2	0	1	1	1	0	1	1	0
ABHD13	ABHD13	574	506	572	559	561	446	606	437	184	111
ABHD14A	ABHD14A	246	148	288	345	271	236	235	229.449	15.746	48.692
ABHD14A-ACY1	ABHD14A-ACY1	0	0	0	0	0	0	0	90.829	3.113	5.308
ABHD14B	ABHD14B	39	36	68	71	29	47	55	37	5	24
ABHD15	ABHD15	33	36	37	42	39	38	46	33	18	31
ABHD16A	ABHD16A	170	108	194	224	72	128	171	141	23	41
ABHD16B	ABHD16B	6	0	2	4	4	8	2	5	1	0
ABHD17A	ABHD17A	62	58	73	61	36	48	50	58	4	26
ABHD17B	ABHD17B	83	108	102	121.001	97	71	95	94	64	64
ABHD17C	ABHD17C	84	61	87	62	91	44	78	58	75	92
ABHD2	ABHD2	160	129	168	169	139	154	188	87	25	73
ABHD3	ABHD3	242	149	183	175	125	145	185	115	54	67
ABHD4	ABHD4	74	59	84	124	38	86	70	96	12	22
ABHD5	ABHD5	474	380	469	424	524	434	601	325	141	163
ABHD6	ABHD6	75	68	98	116.001	80	98	92.001	47	20	14
ABHD8	ABHD8	18	9	20	21	15	17	29	13	0	10
ABI1	ABI1	666.001	509.999	644	685.762	556	523.001	840	469.999	141	171
ABI2	ABI2	353	292	533	481	524	369.999	533	339	173	284
ABI3	ABI3	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	7	22	14	2	6	11	15	8	7	9
ABL1	ABL1	52	52	78	82	69	76	57	72	14	65
ABL2	ABL2	1081.001	1025.999	919	670	841	903	1143	680	185	224
ABLIM1	ABLIM1	209	192	267	272	238.001	173	230	169	89	109
ABLIM2	ABLIM2	0	0	0	0	0	0	0	0	0	0
ABLIM3	ABLIM3	17	19	23	24	26	30	20	13	3	4
ABO	ABO	0	0	0	0	0	0	0	0	0	0
ABR	ABR	51	44	57	47	58	45	47	57	18	60
ABRA	ABRA	3	5	0	7	5	0	0	1	0	1
ABRACL	ABRACL	2657	2309	2310	2403	3030	1772	3081	2354	767	419
ABT1	ABT1	254	259	404	425	304	340	361	260	25	43
ABTB1	ABTB1	12	18	29	12	14	14	13	4	1	14
ABTB2	ABTB2	18	18	10	10	12	6	14	12	5	4
AC000099.1	AC000099.1	0	0	0	2	0	0	0	0	0	0
AC000124.1	AC000124.1	1	0	0	0	0	0	0	0	0	0
AC002116.7	AC002116.7	5	3	5	2	5	8	5	5	5	4
AC002398.5	AC002398.5	0	0	0	0	0	0	0	0	0	0
AC002454.1	AC002454.1	67	55.999	92	169	134	66	122	71	9	7
AC002463.3	AC002463.3	0	0	0	0	0	0	0	0	0	0
AC002480.3	AC002480.3	52	30	34	39	44	38	46	18	12	3
AC002511.1	AC002511.1	1	0	0	0	0	0	0	0	0	0
AC003051.1	AC003051.1	5	2	3	0	1	2	0	1	0	1
AC003102.3	AC003102.3	0	2	0	0	0	0	0	0	0	0
AC003665.1	AC003665.1	19	37	38	18	33	44	35	29	4	6
AC003958.2	AC003958.2	1	1	0	0	0	0	3	0	0	0
AC003984.1	AC003984.1	2	0	1	0	1	0	0	1	0	1
AC004019.13	AC004019.13	1	0	0	0	0	0	0	0	0	0
AC004053.1	AC004053.1	0	0	0	0	0	0	0	0	0	0
AC004603.4	AC004603.4	4	0	0	0	0	1	0	0	0	0
AC004862.6	AC004862.6	0	0	0	0	0	0	0	0	0	0
AC004893.11	AC004893.11	1.021	0	0	1	1.014	0	2.173	1.108	0	2.359
AC005022.1	AC005022.1	0	0	1	0	0	0	0	0	0	1
AC005029.1	AC005029.1	0	0	0	0	0	0	0	0	0	0
AC005062.2	AC005062.2	0	0	0	0	2	0	0	0	1	1
AC005235.1	AC005235.1	0	0	0	0	0	0	0	0	0	0
AC005264.2	AC005264.2	0	1	3	0	2	0	0	0	0	0
AC005358.3	AC005358.3	1	0	0	0	0	0	0	0	0	0
AC005550.4	AC005550.4	1	0	0	0	0	0	0	1	0	1
AC005592.2	AC005592.2	3	7	12	11	4	10	5	5	1	0
AC005594.3	AC005594.3	0	0	0	0	0	1	0	0	0	0
AC006004.1	AC006004.1	1	1	0	0	0	0	0	0	0	0
AC006145.4	AC006145.4	0	3	0	0	0	0	0	0	0	1
AC006196.1	AC006196.1	1	0	0	0	0	0	0	0	0	0
AC006262.5	AC006262.5	0	0	0	0	0	0	0	0	0	16
AC006272.1	AC006272.1	0	0	1	0	0	0	0	0	0	0
AC006372.4	AC006372.4	1	1	0	0	1	0	0	3	0	0
AC007038.7	AC007038.7	0	8	1	0	0	1	2	7	0	0
AC007040.7	AC007040.7	19	21	21	14	24	5	13	13	5	3
AC007099.1	AC007099.1	13	9	13	3	4	3	2	4	0	1
AC007131.1	AC007131.1	1	0	0	0	0	0	0	0	0	0
AC007163.3	AC007163.3	2	0	0	0	0	0	0	0	0	0
AC007163.6	AC007163.6	0	2	1	3	0	0	4	1	0	0
AC007246.3	AC007246.3	40	44	30	33	25	16	24	34	21	12
AC007359.6	AC007359.6	0	0	0	0	0	0	0	0	0	0
AC007365.1	AC007365.1	0	0	0	0	0	0	0	0	0	0
AC007386.2	AC007386.2	0	0	1	0	0	0	0	1	0	0
AC007392.3	AC007392.3	0	0	0	0	0	0	0	0	0	0
AC007392.4	AC007392.4	0	0	0	0	0	0	0	0	0	0
AC007403.2	AC007403.2	0	0	0	0	0	0	0	0	0	0
AC007405.4	AC007405.4	0	0	0	0	0	0	0	0	0	0
AC007461.2	AC007461.2	0	0	1	0	0	0	1	0	0	0
AC007463.2	AC007463.2	0	0	0	0	0	0	0	0	0	0
AC007551.3	AC007551.3	19	3	13	21	10	14	8	16	2	1
AC007682.1	AC007682.1	0	0	0	1	0	0	0	0	0	0
AC007740.1	AC007740.1	0	2	0	0	0	0	0	0	0	0
AC007743.1	AC007743.1	0	0	0	0	0	0	0	0	0	0
AC007750.5	AC007750.5	49	37	77	102	70	33	64	63	50	91
AC007773.2	AC007773.2	10	8	8	10	19	21	10	7	2	8
AC007879.2	AC007879.2	2	1	4	0	0	3	0	0	0	1
AC007880.1	AC007880.1	0	0	0	0	0	0	0	0	0	0
AC007966.1	AC007966.1	0	0	0	0	0	0	0	0	0	0
AC008697.1	AC008697.1	0	0	0	0	0	0	0	0	0	0
AC008703.1	AC008703.1	0	0	0	0	0	0	0	0	0	0
AC009120.4	AC009120.4	0	0	0	0	0	0	0	0	0	0
AC009227.2	AC009227.2	1	0	0	0	0	0	0	0	0	0
AC009264.1	AC009264.1	1	1	0	0	0	3	0	0	0	0
AC009299.3	AC009299.3	0	1	0	1	0	0	0	0	0	0
AC009473.1	AC009473.1	1	1	4	1	7	0	1	3	2	0
AC009501.4	AC009501.4	16	18	24	15	49	10.971	8	24	3	15
AC009518.4	AC009518.4	0	0	0	0	0	0	0	0	0	0
AC009948.5	AC009948.5	210	159	166.999	92	93	115	112	96	32	48
AC010091.1	AC010091.1	3	0	1	0	0	0	0	0	1	1
AC010127.3	AC010127.3	1	1	0	0	0	0	0	0	1	0
AC010226.4	AC010226.4	5	4	7	4	5	4	1	5	0	4
AC010524.2	AC010524.2	0	0	1	0	1	0	1	2	0	0
AC010731.4	AC010731.4	0	1	0	0	0	0	0	0	0	0
AC010890.1	AC010890.1	0	0	0	0	0	0	0	0	0	0
AC010975.1	AC010975.1	0	0	0	0	0	0	0	0	0	0
AC010987.6	AC010987.6	8	3	8	13	11	12	12	11	2	0
AC011298.2	AC011298.2	0	1	1	0	0	0	0	0	0	0
AC011343.1	AC011343.1	0	2	0	0	0	0	0	1	0	2
AC011518.1	AC011518.1	1	0	0	0	0	0	2	1	0	0
AC011609.3	AC011609.3	0	0	0	0	0	0	0	1	0	0
AC011718.2	AC011718.2	0	0	0	0	0	0	0	0	0	0
AC011738.4	AC011738.4	1	3	0	0	0	0	4	0	0	0
AC011747.4	AC011747.4	2	0	1	1	0	0	0	1	0	1
AC011747.7	AC011747.7	5	6	11	6	6	0	13	28	3	7
AC011899.9	AC011899.9	0	2	0	1	0	1	0	0	0	0
AC012075.2	AC012075.2	0	0	0	0	0	0	0	0	0	0
AC012309.5	AC012309.5	14.754	17.011	8.005	14.13	24.001	9	26.612	10	2	9.699
AC012314.8	AC012314.8	4	1	2	5	2	1	2	2	0	0
AC012494.1	AC012494.1	0	0	0	0	0	0	0	0	0	0
AC012507.3	AC012507.3	0	0	0	0	0	0	0	0	0	0
AC015922.6	AC015922.6	0	0	0	0	0	0	0	0	0	0
AC016582.2	AC016582.2	0	0	0	1	0	0	0	1	0	0
AC016629.8	AC016629.8	5	4	6	5	0	2	9	9	5	5
AC016738.3	AC016738.3	0	0	0	0	0	0	0	0	0	0
AC016910.1	AC016910.1	0	0	0	0	0	0	0	0	0	0
AC016995.3	AC016995.3	0	0	0	0	0	0	0	0	0	0
AC017060.1	AC017060.1	13	6	16	6	7	12	10	5	0	1
AC018464.3	AC018464.3	83	94	77	25	149	75	96	36	77	109
AC018470.4	AC018470.4	0	0	0	2	0	0	1	0	0	0
AC018647.3	AC018647.3	4	1	5	1	0	0	3	0	0	0
AC018705.5	AC018705.5	0	0	0	0	0	0	0	0	0	0
AC018742.1	AC018742.1	1	0	0	0	0	0	0	0	0	1
AC018799.1	AC018799.1	0	0	0	0	0	0	0	0	0	0
AC019048.1	AC019048.1	0	0	0	0	0	0	0	0	0	0
AC019118.2	AC019118.2	0	0	0	0	0	0	0	0	0	0
AC020571.3	AC020571.3	2	0	0	0	0	0	0	4	0	0
AC022007.5	AC022007.5	7	4	1	8	1	1	2	7	2	3
AC022173.2	AC022173.2	0	0	0	0	0	0	0	0	0	0
AC022311.1	AC022311.1	0	1	0	0	0	0	0	0	0	0
AC024592.9	AC024592.9	0	0	0	1	0	0	0	0	0	0
AC027269.2	AC027269.2	0	0	0	0	1	0	0	0	0	0
AC037193.1	AC037193.1	1	0	0	1	0	0	0	0	0	0
AC058791.1	AC058791.1	48	77	71	32	60	65	87	33	11	13
AC068831.10	AC068831.10	0	2	3	0	0	0	0	0	0	0
AC068858.1	AC068858.1	0	0	0	0	0	0	0	0	0	0
AC069277.1	AC069277.1	0	0	0	0	0	0	0	0	0	0
AC072062.1	AC072062.1	63	48	70	76	38	47	29	40	19	16
AC073128.10	AC073128.10	0	0	0	0	0	0	0	0	0	0
AC073133.1	AC073133.1	0	0	0	0	1	0	0	0	0	0
AC073283.4	AC073283.4	0	1	0	0	0	1	4	3	0	1
AC073321.3	AC073321.3	0	0	0	0	0	0	0	0	0	0
AC073628.1	AC073628.1	0	0	0	0	0	0	0	0	0	0
AC074138.3	AC074138.3	19	21	18	16	26	14	30	16	13	8
AC074286.1	AC074286.1	2	6	0	4	4	0	11	7	1	4
AC074289.1	AC074289.1	2	0	5	11	5	8	4	10	0	0
AC078941.1	AC078941.1	0	0	0	0	0	0	0	0	0	0
AC079117.1	AC079117.1	0	0	0	0	0	0	0	0	0	0
AC079145.4	AC079145.4	12	11	10	11	14	5	3	8	0	1
AC079586.1	AC079586.1	0	0	2	0	0	0	2	0	0	0
AC079610.2	AC079610.2	0	1	0	0	0	0	0	0	0	2
AC079776.3	AC079776.3	0	0	0	1	0	0	0	0	0	0
AC087859.1	AC087859.1	2	0	0	0	0	1	0	0	0	0
AC090044.1	AC090044.1	1	0	0	1	0	0	0	1	0	0
AC090505.6	AC090505.6	1	0	0	0	0	0	0	2	0	0
AC091729.9	AC091729.9	79	79	136.999	169	108	60	132	115	33	81.001
AC091878.1	AC091878.1	0	3	0	0	0	0	0	0	0	0
AC091969.1	AC091969.1	3	7	2	0	2	3	1	0	0	0
AC092295.7	AC092295.7	36	32	32	42	51	41	33	29	8	11
AC093375.1	AC093375.1	0	0	0	0	0	0	0	0	0	0
AC093391.2	AC093391.2	1	0	0	0	0	5	2	0	0	0
AC093590.1	AC093590.1	0	0	0	0	0	0	0	0	0	0
AC093690.1	AC093690.1	2	1	1	1	3	2	4	2	0	0
AC095067.1	AC095067.1	0	0	0	0	0	0	0	0	0	0
AC096559.1	AC096559.1	23	7	26	28	18	12	28	22	2	0
AC097468.4	AC097468.4	0	0	0	0	1	0	0	0	0	0
AC097500.2	AC097500.2	1	4	0	5	1	0	3	3	0	0
AC097662.2	AC097662.2	4	3	4	3	2	0	2	6	1	0
AC098823.3	AC098823.3	0	0	0	0	0	0	0	0	0	0
AC099342.1	AC099342.1	0	0	0	0	1	0	1	0	0	0
AC104024.1	AC104024.1	0	0	0	0	0	0	0	0	0	0
AC104134.2	AC104134.2	8	3	10	12	7	8	8	17	3	2
AC104653.1	AC104653.1	0	0	0	0	0	1	0	0	0	0
AC104654.1	AC104654.1	0	1	0	0	0	0	0	0	0	0
AC104654.2	AC104654.2	62	43	21	7	2	13	13	18	3	2
AC104655.2	AC104655.2	4	3	3	5	3	6	3	3	1	0
AC104777.2	AC104777.2	1	1	0	0	0	0	0	3	0	0
AC104777.4	AC104777.4	0	0	0	0	0	0	0	1	0	0
AC104820.2	AC104820.2	0	0	1	1	0	0	0	0	0	1
AC105053.3	AC105053.3	0	0	0	0	0	2	0	0	0	0
AC105253.1	AC105253.1	0	0	0	0	0	0	0	0	0	0
AC105339.1	AC105339.1	0	0	0	0	0	0	0	1	0	0
AC105760.3	AC105760.3	0	0	0	0	0	0	0	0	0	0
AC107070.1	AC107070.1	0	0	0	0	0	0	0	0	0	0
AC107622.1	AC107622.1	0	0	0	0	0	0	0	0	0	0
AC108142.1	AC108142.1	2	0	3	2	2	2	0	0	9	1
AC109828.1	AC109828.1	0	0	0	0	0	0	0	0	0	0
AC113607.2	AC113607.2	0	0	0	0	0	0	0	0	0	0
AC116035.1	AC116035.1	0	0	0	0	0	0	0	1	0	0
AC125421.1	AC125421.1	0	0	0	0	0	0	0	0	0	0
AC131097.3	AC131097.3	0	0	0	0	0	0	0	0	0	0
AC136896.1	AC136896.1	0	0	0	0	0	0	0	0	0	0
AC137932.6	AC137932.6	0	2	1	0	0	0	0	0	0	0
AC144449.1	AC144449.1	7	2	2	3	3	5	6	8	1	3
AC145110.1	AC145110.1	0	0	0	0	0	0	0	0	0	0
AC147651.4	AC147651.4	0	0	0	0	0	0	0	0	0	0
AC159540.1	AC159540.1	3.662	13.142	12.132	16.37	12.278	14.255	19.472	8.759	4.956	9.39
AC159540.1-2	AC159540.1	19.076	10.696	17.772	12.45	7.254	15.674	13.161	13.242	0	22.774
AC226118.1	AC226118.1	0	0	0	0	0	0	0	0	0	0
ACAA1	ACAA1	132	97.001	138	127	71	153	135	82	18	57
ACAA2	ACAA2	1207	975	1331	1793	1343	1159	1516	1514	233	142
ACACA	ACACA	142	127	202	234	194	154	226	107	47	60
ACACB	ACACB	1	5	5	2	2	3	4	1	0	1
ACAD10	ACAD10	7	4	6	12	5	7	14	7	2	5
ACAD11	ACAD11	90.986	76.758	146.734	112.292	102.015	74.279	128.074	84.434	15	19
ACAD8	ACAD8	91	74.001	140.999	120	108.999	87	96	80	26	45
ACAD9	ACAD9	64	54	93.999	104.001	46	75	53	61.999	9	32
ACADL	ACADL	0	0	0	1	1	1	1	1	1	1
ACADM	ACADM	3114	2535	2899.001	3071	4261	2603	3814	3067	685	229
ACADS	ACADS	6	6	11	11	3	5	7	2	0	4
ACADSB	ACADSB	169	142	171	191	210	146	250	149	74	53
ACADVL	ACADVL	180	142	245	333	123	207	243	185	53	107
ACAN	ACAN	3	1	0	0	0	0	0	0	0	0
ACAP1	ACAP1	0	0	0	0	1	0	3	0	1	0
ACAP2	ACAP2	554	426	712	541	629	558	756	584	262	249
ACAP3	ACAP3	14	7	20	23	17	16	12	17	6	14
ACAT1	ACAT1	2524	1966	2571	2588	3234	2348	3142	1940	515	557
ACAT2	ACAT2	7768	5630	7937	9172	11090	8278	11181	4710	238	311
ACBD3	ACBD3	667	499	669	609	656	543	699	538	335	350
ACBD4	ACBD4	5	8	1	11	5	11	15	0	3	0
ACBD5	ACBD5	397	372	410	380.001	313	343.001	491	255	125	115
ACBD6	ACBD6	320	323	382	469	420	347	399	301	107	157
ACBD7	ACBD7	2	6	2	4	1	1	7	8	1	5
ACCS	ACCS	8	2	6	6	10	2	8	10	2	6
ACCSL	ACCSL	0	0	0	0	0	0	0	0	0	0
ACD	ACD	93	78	127	113	85.001	143.999	132	68	5	17
ACE	ACE	0	5	0	2	3	2	1	0	0	0
ACE2	ACE2	1	1	0	0	0	0	0	0	0	0
ACER1	ACER1	0	0	0	0	0	0	0	0	0	0
ACER2	ACER2	0	1	2	1	1	0	1	4	0	3
ACER3	ACER3	282.001	239	307	281	282	234	405.001	224.999	72	66
ACHE	ACHE	1	1	0	0	1	1	0	3	0	0
ACIN1	ACIN1	100	112.001	180.999	162	109	123.001	212	112	45	101
ACKR2	ACKR2	1	0	0	0	0	0	0	0	0	1
ACKR3	ACKR3	7	2	0	0	1	1	2	2	12	110
ACKR4	ACKR4	25	12	18	0	1	6	5	20	0	2
ACLY	ACLY	875	589	967	925	1160.999	786	1096	474	346	439
ACMSD	ACMSD	0	0	0	0	0	1	0	0	0	0
ACN9	ACN9	819	740	956	1205	1281	716	1234	953	374	183
ACO1	ACO1	192	133	227	375	241	223	312	126	93	217
ACO2	ACO2	284	173	309	426	184	239	245	167	26	74
ACOT1	ACOT1	57.327	57.865	55.479	45.185	39.951	61.673	57.1	57.885	10.227	4.358
ACOT11	ACOT11	2	0	0	0	1	0	1	0	0	4
ACOT12	ACOT12	0	0	2	0	0	0	1	0	0	0
ACOT13	ACOT13	722	600	834	1052	1035	556	955	946	420	382
ACOT2	ACOT2	252.673	274.134	286.521	223.815	189.049	232.327	197.9	193.115	41.773	36.642
ACOT4	ACOT4	0	2	0	0	0	0	0	0	0	0
ACOT6	ACOT6	1	0	3	2	1	0	0	1	0	0
ACOT7	ACOT7	759	586	822	823	635	979	952	322	55	95
ACOT8	ACOT8	99.999	160	168	207.999	158	207	186	112	27	28.001
ACOT9	ACOT9	1177	877	1146.001	1243	1391	1327.999	1606.001	697	140	139
ACOX1	ACOX1	145	82	138	128	108	99	168	100	41	54
ACOX2	ACOX2	234	143	187	204	240	148	126	138	15	1
ACOX3	ACOX3	29	20	34	42	21	31	44	19	6	11
ACOXL	ACOXL	0	0	0	0	0	0	0	0	0	0
ACP1	ACP1	2796.999	2725	2987.999	3063	3860	2784	3853.999	2760.001	755	624
ACP2	ACP2	70	37	70	74	39	46	47	59	6	24
ACP5	ACP5	0	0	0	0	0	0	0	0	0	0
ACP6	ACP6	66	25	51	67	38	51	64	40	9	7
ACPL2	ACPL2	46	30	44	25	26	37	62	32	25	24
ACPP	ACPP	2	6	3	2	1	3	3	0	2	2
ACPT	ACPT	0	0	0	0	0	0	0	0	0	0
ACR	ACR	0	0	0	0	0	0	0	0	0	0
ACRBP	ACRBP	0	0	0	0	0	0	0	0	0	0
ACRC	ACRC	14	24	22	7	13	11	18	18	1	5
ACRV1	ACRV1	1	0	1	0	0	0	0	0	0	0
ACSBG1	ACSBG1	1	2	0	0	0	1	1	0	0	0
ACSBG2	ACSBG2	0	0	0	0	0	0	0	0	0	0
ACSF2	ACSF2	6	4	18	12	3	8	5	16	7	22
ACSF3	ACSF3	12	10	16	11	6	18	10	3	1	7
ACSL1	ACSL1	121	97	134	117	169	97	146	83	66	72
ACSL3	ACSL3	691	450	657	678	643	515	744	494	156	206
ACSL4	ACSL4	1755.999	1300	1756	1481	2112	1427	2607	1165	799	611
ACSL5	ACSL5	69	30	39	21	5	16	12	23	12	7
ACSL6	ACSL6	3	6	2	2	0	0	6	1	0	3
ACSM1	ACSM1	0	0	0	0	0	0	0	0	0	0
ACSM2A	ACSM2A	0	0	0	0	1	0	0	0	0	0
ACSM2B	ACSM2B	0	0	0	0	1	0	0	0	0	0
ACSM3	ACSM3	107	72	98	129	112	75	111	91	65	73
ACSM4	ACSM4	0	2	0	0	0	0	0	0	0	0
ACSM5	ACSM5	0	0	0	0	0	0	0	0	0	0
ACSS1	ACSS1	13	21	20	18	25	16	27	2	5	5
ACSS2	ACSS2	148	107	151	190	132	122	135	83	24	54
ACSS3	ACSS3	30	5	36	37	16	12	28	38	13	4
ACTA1	ACTA1	0	0	0	0	0	0	0	0	0	0
ACTA2	ACTA2	126.003	37	480.01	278	562.018	402	683	134	125	45
ACTA2-AS1	ACTA2-AS1	0	0	0	0	0	1	0	0	0	0
ACTB	ACTB	45021.863	30939	63290.095	65832.67	39206.658	63097.89	63757.221	20810.743	11260.781	14728.016
ACTBL2	ACTBL2	1	0	1	1	1	0	0	0	0	0
ACTC1	ACTC1	9	7	6.027	2	3	4	5	4	96.979	33
ACTG1	ACTG1	11284.101	8576.939	15444.85	17875.297	13707.278	16061.081	16687.667	6099.211	3467.21	7938.972
ACTG1P4	ACTG1P4	0	0	0	0	2	0	1	0	0	0
ACTG2	ACTG2	29	19	65.975	107.002	44	20.003	45.005	38	1.021	3
ACTL10	ACTL10	3	2	10	6	6	2	5	3	0	0
ACTL6A	ACTL6A	2533	2014	2917	3077	2654	2341	2952.999	2110	454	301
ACTL6B	ACTL6B	0	0	0	0	0	0	0	0	0	0
ACTL7A	ACTL7A	0	0	0	1	0	0	0	0	0	0
ACTL7B	ACTL7B	0	0	0	0	0	0	0	0	0	0
ACTL8	ACTL8	0	0	0	0	0	0	0	1	0	0
ACTL9	ACTL9	0	0	0	0	0	0	0	0	0	0
ACTN1	ACTN1	648	577	870	804	777	797	997	399	242	419
ACTN1-AS1	ACTN1-AS1	0	0	0	0	0	0	0	0	0	0
ACTN2	ACTN2	0	3	0	0	0	0	2	0	0	0
