"","CBA_001","CBA_002","CBA_004","CBA_005","CBA_007","CBA_008"
"LOC101928482",0,0,0,0,0,0
"LOC101928484",0,0,0,0,0,0
"LOC101928485",2,4,0,7,0,0
"LOC101928487",2,1,4,1,1,2
"LOC101928489",1,2,2,2,1,1
"LOC101928491",0,2,1,1,1,0
"LOC101928498",9,12,24,13,18,11
"LOC101928499",1,0,0,0,0,0
"LOC101928502",0,0,0,0,0,0
"LOC101928504",3,8,8,7,4,8
"LOC101928505",1,0,0,0,1,0
"LOC101928506",0,0,0,0,0,0
"LOC101928510",1,1,0,1,0,0
"LOC101928512",0,0,0,0,0,0
"LOC101928513",0,0,0,0,0,0
"LOC101928514",0,1,0,0,0,0
"LOC101928517",0,0,0,0,0,0
"LOC101928519",0,0,0,0,0,0
"LOC101928522",0,0,0,0,0,0
"LOC101928523",0,0,0,0,0,0
"LOC101928524",10,11,9,4,18,7
"LOC101928526",0,0,0,0,0,0
"LOC101928527",239,244,281,343,271,293
"LOC101928529",1,0,0,1,0,0
"LOC101928530",6,4,1,4,2,6
"LOC101928533",0,0,0,3,0,0
"LOC101928535",2,2,1,1,0,0
"LOC101928538",0,0,0,0,0,0
"LOC101928543",0,0,0,0,0,0
"LOC101928548",0,0,0,0,0,0
"LOC101928549",0,0,0,1,0,0
"LOC101928551",0,0,0,0,0,0
"LOC101928552",0,0,0,0,1,1
"LOC101928553",0,0,0,0,0,0
"LOC101928554",1,0,1,0,0,0
"LOC101928555",0,1,0,0,0,0
"LOC101928556",0,0,0,0,0,0
"LOC101928557",0,0,0,0,0,0
"LOC101928558",0,0,0,0,0,1
"LOC101928560",1,8,0,4,3,2
"LOC101928561",1,3,3,5,1,3
"LOC101928562",0,0,0,0,0,4
"LOC101928563",0,0,0,0,0,0
"LOC101928564",0,0,0,0,0,0
"LOC101928566",0,0,0,0,0,0
"LOC101928568",0,0,0,0,0,0
"LOC101928569",0,0,0,0,0,2
"LOC101928570",0,0,0,0,0,0
"LOC101928571",0,1,1,0,2,2
"LOC101928572",0,0,0,0,0,0
"LOC101928573",0,0,0,0,0,0
"LOC101928574",0,0,0,0,1,0
"LOC101928576",0,0,0,0,0,0
"LOC101928579",0,0,0,0,1,0
"LOC101928581",0,0,0,0,0,0
"LOC101928582",0,0,0,0,0,0
"LOC101928583",0,1,0,0,0,0
"LOC101928584",0,0,0,0,0,0
"LOC101928586",0,0,0,0,0,0
"LOC101928587",0,0,0,0,0,0
"LOC101928588",0,0,2,0,0,1
"LOC101928589",43,166,25,41,43,26
"LOC101928591",0,0,0,0,0,0
"LOC101928592",1,1,0,0,1,1
"LOC101928593",0,0,0,0,0,0
"LOC101928595",25,9,15,9,10,15
"LOC101928596",0,0,0,0,0,0
"LOC101928598",0,0,0,0,0,0
"LOC101928600",0,0,0,0,0,0
"LOC101928602",0,0,0,0,0,0
"LOC101928604",0,0,0,0,0,0
"LOC101928608",0,0,0,0,0,0
"LOC101928609",0,0,0,0,0,0
"LOC101928611",0,0,0,0,0,0
"LOC101928612",0,0,0,0,0,0
"LOC101928614",0,0,0,0,0,0
"LOC101928615",37,44,56,61,50,28
"LOC101928617",0,0,1,0,0,0
"LOC101928618",0,0,0,0,0,1
"LOC101928620",1,0,0,0,0,0
"LOC101928621",2,0,0,0,0,0
"LOC101928623",0,0,0,0,0,0
"LOC101928624",1,2,4,4,5,1
"LOC101928625",0,0,0,0,1,2
"LOC101928628",0,0,0,0,0,0
"LOC101928629",0,0,0,0,0,0
"LOC101928632",2,2,2,5,1,0
"LOC101928633",0,0,0,0,0,0
"LOC101928634",0,8,3,2,6,4
"LOC101928635",1,3,6,4,3,1
"LOC101928636",0,0,0,0,0,0
"LOC101928638",0,0,0,0,0,0
"LOC101928639",0,0,0,0,0,0
"LOC101928640",0,0,0,0,0,0
"LOC101928641",85,98,90,104,104,89
"LOC101928643",0,0,0,0,0,0
"LOC101928645",0,0,0,0,2,0
"LOC101928647",0,0,0,0,0,0
"LOC101928652",0,0,0,0,0,0
"LOC101928654",0,0,0,0,0,0
"LOC101928655",0,0,0,0,0,0
"LOC101928657",16,15,11,16,11,12
"LOC101928658",0,0,0,0,0,0
"LOC101928659",7,1,10,9,3,5
"LOC101928660",2,1,0,1,1,4
"LOC101928662",0,0,0,0,0,0
"LOC101928665",1,2,1,0,0,1
"LOC101928666",1,2,0,0,0,0
"LOC101928667",0,0,0,0,0,0
"LOC101928668",0,0,0,0,0,0
"LOC101928669",0,2,0,0,1,2
"LOC101928671",0,0,0,0,0,0
"LOC101928673",6,9,11,3,12,2
"LOC101928676",7,10,0,11,8,5
"LOC101928678",0,0,0,0,0,0
"LOC101928683",5,1,0,0,0,0
"LOC101928684",1,1,0,0,0,0
"LOC101928688",0,0,0,0,0,0
"LOC101928689",1,5,0,1,2,0
"LOC101928690",1,0,0,2,1,0
"LOC101928692",0,0,0,0,0,0
"LOC101928695",0,3,1,0,0,0
"LOC101928697",0,0,0,0,0,1
"LOC101928699",1,0,0,0,0,0
"LOC101928701",3,0,0,0,0,0
"LOC101928702",0,0,0,0,0,0
"LOC101928704",0,1,0,0,0,0
"LOC101928705",0,1,1,1,4,1
"LOC101928706",2,0,0,0,0,0
"LOC101928707",7,2,10,6,6,9
"LOC101928710",0,0,0,0,0,0
"LOC101928711",0,0,0,0,0,0
"LOC101928713",0,0,0,0,0,0
"LOC101928714",11,6,7,18,0,9
"LOC101928716",3,6,1,0,0,0
"LOC101928717",1,3,1,0,3,0
"LOC101928718",12,2,14,4,1,6
"LOC101928719",17,20,15,12,36,16
"LOC101928721",0,0,0,0,0,0
"LOC101928722",0,0,0,0,0,0
"LOC101928725",3,7,0,6,3,2
"LOC101928727",0,0,0,0,0,0
"LOC101928728",1,0,1,2,10,4
"LOC101928729",1,1,0,0,0,0
"LOC101928730",0,0,0,0,0,0
"LOC101928733",0,1,0,1,0,0
"LOC101928734",0,0,0,0,0,0
"LOC101928735",0,0,0,0,0,0
"LOC101928738",0,0,0,0,0,0
"LOC101928740",0,0,0,0,0,0
"LOC101928741",0,0,0,0,0,0
"LOC101928742",0,0,0,2,0,0
"LOC101928743",0,0,0,0,0,0
"LOC101928745",7,1,3,9,8,7
"LOC101928747",0,0,0,0,0,0
"LOC101928754",0,0,0,0,0,0
"LOC101928756",0,0,0,0,0,0
"LOC101928760",0,0,0,0,0,0
"LOC101928761",0,0,0,0,0,0
"LOC101928762",0,1,0,1,1,0
"LOC101928764",0,0,3,0,0,4
"LOC101928765",0,0,0,0,0,0
"LOC101928767",4,7,3,7,8,2
"LOC101928768",0,0,0,0,0,2
"LOC101928770",0,0,0,0,0,0
"LOC101928774",0,1,0,0,1,0
"LOC101928775",0,0,0,0,0,0
"LOC101928779",0,0,0,0,0,0
"LOC101928783",0,0,0,0,0,0
"LOC101928785",0,0,0,0,0,0
"LOC101928786",0,0,0,0,0,0
"LOC101928787",0,0,0,0,0,0
"LOC101928789",1,2,0,0,1,0
"LOC101928792",0,0,0,0,0,0
"LOC101928793",0,0,0,0,0,0
"LOC101928794",11,20,10,14,12,15
"LOC101928796",0,2,1,1,2,0
"LOC101928798",0,0,0,0,0,0
"LOC101928800",0,0,0,0,0,0
"LOC101928801",0,0,0,0,0,0
"LOC101928803",0,0,0,0,0,0
"LOC101928804",0,0,0,0,0,0
"LOC101928806",0,0,3,1,1,1
"LOC101928807",0,0,0,0,0,0
"LOC101928808",2,0,0,0,0,0
"LOC101928810",0,0,0,0,0,0
"LOC101928813",0,0,0,0,0,0
"LOC101928814",0,0,3,0,0,1
"LOC101928815",1,0,0,0,0,0
"LOC101928816",0,0,0,0,0,0
"LOC101928817",1,1,0,0,1,0
"LOC101928818",0,0,0,0,0,0
"LOC101928819",0,0,0,0,0,0
"LOC101928820",16,17,8,12,12,4
"LOC101928824",0,0,0,0,0,0
"LOC101928825",0,1,2,0,0,0
"LOC101928826",32,25,26,36,36,18
"LOC101928828",0,0,0,0,0,0
"LOC101928829",2,8,5,8,4,15
"LOC101928830",0,0,2,0,0,1
"LOC101928832",0,1,0,0,0,0
"LOC101928833",0,0,0,0,0,0
"LOC101928836",0,0,0,0,0,0
"LOC101928838",1,1,7,3,4,0
"LOC101928839",0,0,0,1,0,0
"LOC101928841",1,0,0,0,0,2
"LOC101928842",0,0,0,0,0,0
"LOC101928845",0,0,0,0,0,1
"LOC101928849",0,0,0,0,0,0
"LOC101928850",0,0,0,0,0,0
"LOC101928852",0,2,2,3,4,4
"LOC101928853",4,1,0,0,0,0
"LOC101928854",0,0,5,6,1,4
"LOC101928856",0,0,0,0,0,0
"LOC101928859",0,0,0,0,0,0
"LOC101928860",0,0,0,0,0,0
"LOC101928862",30,15,33,55,55,18
"LOC101928863",0,0,0,0,0,0
"LOC101928864",0,0,0,0,0,0
"LOC101928866",0,0,0,0,0,0
"LOC101928867",0,0,0,0,0,0
"LOC101928868",20,8,26,18,15,15
"LOC101928870",7,1,4,4,1,3
"LOC101928872",0,0,0,0,0,0
"LOC101928874",0,0,0,0,0,0
"LOC101928875",3,1,0,0,0,0
"LOC101928876",0,0,0,0,0,0
"LOC101928879",0,0,0,0,0,0
"LOC101928880",1,0,0,0,0,0
"LOC101928881",0,0,0,0,0,0
"LOC101928882",0,0,0,0,0,0
"LOC101928884",0,0,0,0,0,0
"LOC101928886",0,0,0,1,0,0
"LOC101928887",0,0,0,0,0,0
"LOC101928890",0,0,0,0,0,0
"LOC101928891",11,8,19,4,11,3
"LOC101928892",0,0,0,0,0,0
"LOC101928893",0,0,0,0,0,0
"LOC101928895",0,1,0,0,0,0
"LOC101928897",1,1,0,0,0,0
"LOC101928898",0,0,0,0,0,0
"LOC101928899",0,0,0,0,0,0
"LOC101928902",0,1,0,0,0,0
"LOC101928905",0,0,0,0,0,0
"LOC101928906",0,0,0,0,0,0
"LOC101928907",0,2,0,0,0,1
"LOC101928910",0,0,0,0,0,0
"LOC101928911",0,0,0,0,0,0
"LOC101928912",0,0,0,0,0,0
"LOC101928913",1,2,0,1,0,2
"LOC101928915",3,3,8,7,11,5
"LOC101928916",0,0,0,0,0,0
"LOC101928917",10,0,15,8,12,0
"LOC101928918",0,0,0,0,0,0
"LOC101928919",0,0,0,0,0,0
"LOC101928921",1,0,0,0,0,0
"LOC101928922",0,0,0,0,0,0
"LOC101928923",0,0,0,0,0,0
"LOC101928924",0,0,0,0,0,0
"LOC101928926",0,0,0,0,0,0
"LOC101928927",0,0,0,0,0,1
"LOC101928928",0,0,0,0,0,0
"LOC101928929",0,0,0,0,0,0
"LOC101928932",0,0,0,0,0,0
"LOC101928933",0,0,0,0,0,0
"LOC101928936",0,1,0,3,1,1
"LOC101928938",0,0,0,0,0,0
"LOC101928941",0,0,0,0,0,0
"LOC101928946",2,4,0,2,0,1
"LOC101928947",0,0,0,0,0,1
"LOC101928948",0,0,0,0,0,0
"LOC101928950",3,0,0,0,1,0
"LOC101928955",1,1,0,3,3,0
"LOC101928957",0,0,0,0,0,0
"LOC101928958",0,0,0,0,0,0
"LOC101928961",0,1,0,0,0,0
"LOC101928962",0,0,0,0,0,0
"LOC101928963",4,9,17,18,17,7
"LOC101928964",0,0,0,0,0,0
"LOC101928965",0,0,0,1,0,0
"LOC101928967",0,1,0,0,0,0
"LOC101928968",0,0,0,0,0,0
"LOC101928969",0,0,0,0,0,0
"LOC101928970",0,2,3,1,1,0
"LOC101928972",0,0,0,0,0,0
"LOC101928974",0,0,0,0,0,0
"LOC101928976",0,0,0,0,0,0
"LOC101928977",0,0,0,0,0,0
"LOC101928978",0,0,0,0,0,1
"LOC101928981",0,0,0,0,0,0
"LOC101928982",0,0,0,1,0,0
"LOC101928984",0,0,0,0,0,0
"LOC101928985",0,0,0,0,0,0
"LOC101928987",0,0,0,0,0,0
"LOC101928991",0,0,0,0,0,0
"LOC101928993",2,0,0,0,0,1
"LOC101928997",0,0,0,0,0,0
"LOC101928998",0,0,0,0,0,0
"LOC101929002",0,1,0,0,0,0
"LOC101929003",0,0,0,0,0,0
"LOC101929004",3,3,1,0,1,1
"LOC101929005",0,0,0,0,0,3
"LOC101929006",0,0,0,0,0,0
"LOC101929007",0,2,0,0,0,0
"LOC101929008",0,0,0,0,0,0
"LOC101929011",0,0,0,0,0,0
"LOC101929012",0,0,0,0,0,0
"LOC101929014",0,0,0,0,0,0
"LOC101929015",0,0,0,0,0,0
"LOC101929016",0,0,0,0,0,0
"LOC101929017",2,0,0,0,0,0
"LOC101929018",2,0,2,0,0,3
"LOC101929021",1,0,0,0,0,0
"LOC101929022",0,0,0,0,0,0
"LOC101929027",1,0,0,0,0,1
"LOC101929028",1,0,0,0,1,0
"LOC101929031",0,0,0,0,0,0
"LOC101929034",0,0,0,0,0,0
"LOC101929035",5,0,0,0,1,0
"LOC101929036",0,0,0,0,0,0
"LOC101929038",0,0,0,0,0,0
"LOC101929039",0,0,0,1,0,1
"LOC101929040",2,8,3,4,8,10
"LOC101929042",0,0,0,0,0,0
"LOC101929043",0,0,0,0,0,0
"LOC101929044",0,0,0,0,0,0
"LOC101929046",3,0,5,0,5,2
"LOC101929047",7,7,19,7,16,13
"LOC101929048",0,0,0,0,0,0
"LOC101929050",0,0,0,0,0,0
"LOC101929051",0,0,0,0,0,0
"LOC101929054",0,0,0,0,0,0
"LOC101929055",0,0,0,0,0,0
"LOC101929056",0,0,0,0,0,0
"LOC101929057",0,4,4,0,2,1
"LOC101929058",0,0,0,0,0,0
"LOC101929060",1,0,3,0,0,0
"LOC101929065",0,0,0,1,0,0
"LOC101929067",0,8,1,0,0,1
"LOC101929069",0,0,1,2,0,1
"LOC101929070",1,0,0,0,0,0
"LOC101929072",4,6,5,6,12,1
"LOC101929074",8,10,12,14,9,14
"LOC101929077",0,0,0,0,0,0
"LOC101929078",7,6,17,8,3,9
"LOC101929079",0,0,0,0,0,0
"LOC101929082",0,0,0,0,0,0
"LOC101929085",0,0,0,0,0,0
"LOC101929087",0,0,0,0,0,0
"LOC101929088",0,0,0,0,0,0
"LOC101929090",0,0,0,0,0,0
"LOC101929092",0,0,0,0,0,0
"LOC101929094",0,0,0,0,0,0
"LOC101929097",0,0,0,0,0,0
"LOC101929098",0,0,0,0,0,0
"LOC101929107",1,1,2,0,0,7
"LOC101929108",0,0,0,0,0,0
"LOC101929109",2,0,0,0,0,0
"LOC101929112",106,119,87,111,107,82
"LOC101929114",0,0,0,0,0,0
"LOC101929115",12,7,0,6,4,0
"LOC101929117",2,0,0,0,0,0
"LOC101929119",0,0,0,0,0,0
"LOC101929121",1,0,0,0,0,0
"LOC101929124",0,1,0,0,0,0
"LOC101929125",0,1,0,0,0,0
"LOC101929129",0,0,0,0,0,0
"LOC101929130",0,2,0,0,0,1
"LOC101929131",0,0,0,0,0,0
"LOC101929132",0,1,0,0,0,1
"LOC101929133",1,0,0,0,0,0
"LOC101929134",2,0,5,0,1,3
"LOC101929137",0,1,0,1,2,0
"LOC101929138",1,0,0,0,0,0
"LOC101929140",12,4,5,9,6,9
"LOC101929141",3,3,0,0,0,0
"LOC101929142",0,0,0,0,0,0
"LOC101929143",0,1,0,0,0,1
"LOC101929144",0,0,0,0,0,0
"LOC101929145",17,12,25,18,14,6
"LOC101929149",0,1,0,1,1,5
"LOC101929151",0,0,1,0,0,0
"LOC101929152",1,0,0,0,0,0
"LOC101929153",0,0,0,0,0,0
"LOC101929154",0,0,0,0,0,0
"LOC101929155",0,0,1,1,1,6
"LOC101929156",0,0,0,0,0,0
"LOC101929157",0,0,0,0,0,0
"LOC101929159",0,1,0,1,0,1
"LOC101929160",0,0,0,0,0,0
"LOC101929161",0,0,0,0,0,0
"LOC101929164",0,0,0,0,0,0
"LOC101929165",3,0,1,4,1,4
"LOC101929167",0,0,0,0,0,0
"LOC101929173",2,0,0,0,0,0
"LOC101929174",10,13,17,9,13,19
"LOC101929177",20,30,38,39,41,27
"LOC101929178",5,6,7,8,0,3
"LOC101929180",0,0,0,0,0,0
"LOC101929184",0,0,0,0,0,0
"LOC101929185",2,1,2,0,1,0
"LOC101929187",0,0,0,0,0,0
"LOC101929188",60,99,55,133,113,42
"LOC101929190",0,0,0,0,0,0
"LOC101929191",0,0,0,0,0,0
"LOC101929192",0,0,0,0,0,0
"LOC101929194",0,0,0,0,0,0
"LOC101929195",0,1,0,0,0,0
"LOC101929198",0,0,0,0,0,0
"LOC101929200",4,4,2,5,2,3
"LOC101929201",0,0,0,0,0,0
"LOC101929202",0,0,0,0,0,0
"LOC101929204",0,0,0,0,0,0
"LOC101929206",0,1,0,5,2,0
"LOC101929211",9,27,16,16,17,13
"LOC101929214",0,0,0,0,0,0
"LOC101929216",0,0,0,0,0,0
"LOC101929217",1,0,0,0,0,0
"LOC101929220",0,0,0,0,1,0
"LOC101929223",0,0,0,0,0,1
"LOC101929225",0,1,0,0,0,1
"LOC101929227",0,1,0,2,0,0
"LOC101929228",0,0,0,0,0,0
"LOC101929229",0,0,0,0,0,0
"LOC101929230",0,0,1,0,0,0
"LOC101929232",0,0,0,2,0,0
"LOC101929236",0,0,0,0,0,0
"LOC101929240",6,1,4,6,0,6
"LOC101929241",0,0,0,0,0,0
"LOC101929243",30,36,42,25,22,40
"LOC101929248",0,2,1,0,1,0
"LOC101929249",0,0,0,0,0,0
"LOC101929250",0,0,0,0,0,0
"LOC101929251",0,0,0,0,0,0
"LOC101929256",0,0,0,0,0,0
"LOC101929257",0,0,0,0,0,0
"LOC101929258",0,1,0,0,0,0
"LOC101929259",0,1,0,0,2,0
"LOC101929261",0,1,0,0,0,0
"LOC101929263",0,0,0,0,0,1
"LOC101929264",4,19,4,12,5,3
"LOC101929265",1,0,0,0,0,0
"LOC101929266",0,0,0,0,0,0
"LOC101929267",0,0,0,0,0,0
"LOC101929269",0,0,0,0,0,0
"LOC101929270",3,0,4,1,5,2
"LOC101929272",0,0,1,0,0,1
"LOC101929278",0,0,0,0,0,0
"LOC101929279",0,1,0,0,0,0
"LOC101929280",0,0,2,0,0,3
"LOC101929283",0,0,0,0,0,0
"LOC101929285",4,3,1,1,0,2
"LOC101929286",0,0,0,0,0,0
"LOC101929287",0,0,0,0,0,0
"LOC101929288",1,1,0,0,0,1
"LOC101929289",4,13,2,5,1,1
"LOC101929290",5,4,2,9,2,0
"LOC101929291",1,1,3,1,1,0
"LOC101929295",0,0,0,0,0,0
"LOC101929296",0,0,2,2,0,0
"LOC101929298",0,0,0,1,0,0
"LOC101929300",0,0,0,0,0,0
"LOC101929301",0,0,0,0,0,0
"LOC101929304",5,6,8,6,9,12
"LOC101929305",0,0,0,0,0,0
"LOC101929307",0,0,0,0,0,0
"LOC101929309",0,0,0,0,0,0
"LOC101929313",0,0,0,0,0,0
"LOC101929314",0,0,0,0,0,0
"LOC101929316",0,0,0,0,0,0
"LOC101929319",1,0,0,0,0,1
"LOC101929320",0,0,0,0,0,0
"LOC101929321",0,0,0,0,0,0
"LOC101929322",0,0,0,0,0,0
"LOC101929325",0,0,0,0,0,0
"LOC101929326",0,0,1,0,0,0
"LOC101929327",0,0,0,0,0,0
"LOC101929328",1,0,0,0,1,0
"LOC101929330",2,3,4,0,5,3
"LOC101929333",2,3,2,1,5,2
"LOC101929336",4,0,2,1,1,0
"LOC101929340",0,0,0,0,0,0
"LOC101929341",0,0,0,0,0,0
"LOC101929343",0,0,0,0,0,0
"LOC101929346",6,9,1,0,0,1
"LOC101929347",0,1,0,0,0,0
"LOC101929348",0,0,0,0,0,0
"LOC101929350",0,0,0,0,0,0
"LOC101929351",1,0,0,3,1,0
"LOC101929352",2,0,1,2,0,0
"LOC101929354",0,0,0,0,0,0
"LOC101929355",0,0,0,0,0,0
"LOC101929356",3,3,1,5,2,1
"LOC101929358",0,0,0,0,0,0
"LOC101929359",0,0,0,0,0,0
"LOC101929360",1,0,0,0,0,0
"LOC101929363",0,0,0,0,0,0
"LOC101929367",0,0,0,0,0,0
"LOC101929368",1,1,2,2,0,1
"LOC101929371",0,0,1,0,0,0
"LOC101929373",0,0,0,0,0,0
"LOC101929374",0,0,0,0,0,0
"LOC101929375",0,1,0,0,0,0
"LOC101929379",0,2,0,0,0,1
"LOC101929381",2,2,0,0,0,0
"LOC101929382",0,0,0,0,0,0
"LOC101929384",0,0,0,0,0,0
"LOC101929385",0,0,0,2,4,0
"LOC101929386",0,0,0,0,0,0
"LOC101929387",0,0,0,0,0,0
"LOC101929388",0,0,0,0,0,0
"LOC101929393",0,0,0,0,0,0
"LOC101929396",0,1,0,0,0,0
"LOC101929398",16,29,11,7,15,20
"LOC101929401",1,0,0,0,0,0
"LOC101929408",0,0,0,0,0,0
"LOC101929409",2,0,0,0,0,0
"LOC101929410",4,6,4,4,3,2
"LOC101929411",0,0,0,0,0,0
"LOC101929414",0,0,0,0,0,0
"LOC101929418",0,0,0,0,0,0
"LOC101929419",2,0,0,0,0,0
"LOC101929422",0,0,0,0,0,0
"LOC101929425",0,0,0,0,0,0
"LOC101929426",2,1,4,1,6,0
"LOC101929427",0,0,0,0,0,0
"LOC101929431",7,9,2,2,3,1
"LOC101929432",0,0,0,0,0,0
"LOC101929433",0,0,0,0,0,0
"LOC101929434",0,0,2,0,0,2
"LOC101929435",0,0,0,0,0,0
"LOC101929437",0,0,0,0,0,0
"LOC101929440",1,3,7,6,10,4
"LOC101929441",0,0,0,0,0,0
"LOC101929442",0,0,0,0,0,0
"LOC101929443",0,0,0,0,0,0
"LOC101929444",1,1,0,1,0,0
"LOC101929445",0,0,0,0,0,1
"LOC101929446",0,0,0,0,0,0
"LOC101929447",0,0,0,0,0,0
"LOC101929449",2,0,0,0,0,0
"LOC101929451",1,3,1,1,8,1
"LOC101929453",0,0,0,0,0,0
"LOC101929456",0,0,0,0,0,2
"LOC101929457",0,0,0,0,0,0
"LOC101929459",0,0,0,0,0,0
"LOC101929460",0,0,0,0,0,0
"LOC101929462",0,0,0,0,0,1
"LOC101929463",0,0,0,0,0,0
"LOC101929465",3,1,4,4,0,4
"LOC101929467",3,1,1,4,1,2
"LOC101929469",0,0,0,0,0,0
"LOC101929475",13,19,13,12,15,7
"LOC101929476",0,0,0,0,0,0
"LOC101929477",0,0,0,0,0,0
"LOC101929478",0,0,0,0,0,0
"LOC101929479",0,0,2,0,0,0
"LOC101929480",0,0,0,0,0,0
"LOC101929482",0,0,1,0,0,0
"LOC101929484",1,2,0,1,1,2
"LOC101929485",0,0,0,0,0,0
"LOC101929489",1,0,0,0,0,0
"LOC101929490",0,0,0,0,0,0
"LOC101929491",0,1,0,0,1,0
"LOC101929492",0,0,0,0,0,0
"LOC101929493",0,0,0,0,0,0
"LOC101929494",10,2,6,7,6,7
"LOC101929495",0,0,0,0,0,0
"LOC101929498",0,0,0,0,0,0
"LOC101929500",3,1,4,1,5,0
"LOC101929506",0,1,3,2,1,0
"LOC101929507",0,0,0,0,0,0
"LOC101929510",0,0,0,0,0,0
"LOC101929511",0,1,1,2,2,0
"LOC101929512",0,0,0,1,0,0
"LOC101929513",0,0,0,3,0,0
"LOC101929514",0,0,0,0,0,0
"LOC101929515",0,0,0,0,0,0
"LOC101929518",0,0,0,0,0,0
"LOC101929519",1,0,0,0,0,0
"LOC101929521",1,3,0,1,0,1
"LOC101929522",0,0,0,0,0,0
"LOC101929523",2,1,1,0,5,3
"LOC101929528",0,0,0,0,0,0
"LOC101929530",0,0,0,0,0,0
"LOC101929531",0,0,0,0,0,0
"LOC101929533",1,3,5,1,1,2
"LOC101929534",0,1,0,0,0,0
"LOC101929535",0,0,0,0,0,0
"LOC101929536",0,0,0,0,0,0
"LOC101929538",0,0,0,0,0,0
"LOC101929540",0,0,0,0,3,1
"LOC101929542",0,0,0,0,0,0
"LOC101929544",0,0,0,0,0,0
"LOC101929545",4,6,4,1,3,2
"LOC101929547",0,0,0,0,0,0
"LOC101929548",0,1,0,1,3,1
"LOC101929550",1,1,1,0,2,0
"LOC101929552",0,0,0,0,3,1
"LOC101929555",5,3,11,8,11,9
"LOC101929557",0,0,0,0,0,0
"LOC101929558",0,0,0,0,0,0
"LOC101929560",0,2,0,1,0,0
"LOC101929561",0,0,0,0,0,0
"LOC101929562",0,0,2,2,2,2
"LOC101929563",1,0,0,0,0,0
"LOC101929564",0,0,0,0,0,0
"LOC101929566",2,2,2,0,0,3
"LOC101929571",1,4,4,3,4,1
"LOC101929573",0,0,0,0,0,0
"LOC101929574",0,0,0,0,0,0
"LOC101929575",0,0,0,0,0,0
"LOC101929576",0,0,0,0,0,0
"LOC101929578",1,1,0,0,0,0
"LOC101929580",0,0,0,0,0,0
"LOC101929583",0,0,0,0,0,0
"LOC101929587",0,0,0,0,0,0
"LOC101929590",0,0,0,0,0,0
"LOC101929593",0,0,0,0,0,0
"LOC101929594",3,4,1,7,4,2
"LOC101929599",0,0,0,0,0,0
"LOC101929601",0,2,0,0,0,0
"LOC101929602",0,1,0,0,1,0
"LOC101929604",0,0,0,0,0,0
"LOC101929608",0,0,0,0,0,0
"LOC101929609",4,4,11,6,0,0
"LOC101929610",0,2,0,2,1,1
"LOC101929612",4,5,6,9,1,3
"LOC101929613",0,0,0,0,0,0
"LOC101929614",0,0,0,0,0,0
"LOC101929615",0,0,0,0,0,0
"LOC101929617",0,0,0,0,0,0
"LOC101929618",0,0,0,0,0,0
"LOC101929619",0,1,0,0,0,0
"LOC101929620",0,0,0,0,0,0
"LOC101929621",0,0,0,0,0,0
"LOC101929625",0,0,0,0,0,0
"LOC101929627",0,0,2,0,0,1
"LOC101929628",0,0,0,0,0,0
"LOC101929633",0,0,0,0,1,0
"LOC101929634",0,1,0,1,1,0
"LOC101929636",0,0,0,0,0,0
"LOC101929637",0,0,0,0,0,0
"LOC101929638",0,0,0,1,0,0
"LOC101929641",1,0,0,2,1,0
"LOC101929643",4,1,0,3,4,1
"LOC101929644",0,0,0,0,0,0
"LOC101929645",0,2,1,0,0,0
"LOC101929646",0,0,0,0,0,0
"LOC101929647",0,0,0,0,0,0
"LOC101929648",3,0,1,0,0,1
"LOC101929650",0,1,0,0,0,0
"LOC101929654",0,0,0,0,0,0
"LOC101929656",0,0,0,0,0,0
"LOC101929657",4,1,3,4,0,3
"LOC101929658",0,0,0,0,0,0
"LOC101929661",0,0,0,0,0,0
"LOC101929664",0,0,0,0,0,0
"LOC101929666",0,1,0,0,0,1
"LOC101929667",0,0,0,0,0,0
"LOC101929668",5,4,3,14,4,4
"LOC101929670",0,0,0,0,0,0
"LOC101929673",0,0,0,0,0,0
"LOC101929674",0,0,0,0,0,0
"LOC101929675",0,0,0,0,0,0
"LOC101929681",0,0,0,0,0,0
"LOC101929683",1,0,0,0,0,0
"LOC101929685",0,0,0,0,0,0
"LOC101929687",11,6,4,6,5,4
"LOC101929688",0,1,0,0,0,0
"LOC101929689",35,21,5,13,13,10
"LOC101929690",3,1,0,2,0,0
"LOC101929691",0,1,0,0,0,0
"LOC101929692",0,0,0,0,0,0
"LOC101929696",0,0,0,0,0,0
"LOC101929697",0,0,0,1,0,0
"LOC101929698",0,0,0,0,0,0
"LOC101929700",0,0,0,0,0,0
"LOC101929702",0,0,0,0,0,0
"LOC101929704",1,5,6,5,1,3
"LOC101929713",3,5,1,5,1,2
"LOC101929714",3,2,3,1,2,0
"LOC101929715",0,5,1,2,2,1
"LOC101929719",0,0,2,6,3,7
"LOC101929722",0,0,0,0,0,0
"LOC101929724",0,3,1,3,0,0
"LOC101929725",0,0,0,0,0,0
"LOC101929726",0,0,0,1,0,3
"LOC101929727",0,0,0,0,0,0
"LOC101929728",2,3,0,2,2,2
"LOC101929732",0,1,0,0,2,0
"LOC101929733",0,0,0,0,0,0
"LOC101929738",0,0,0,0,0,2
"LOC101929740",0,0,0,0,0,0
"LOC101929741",0,0,0,1,0,0
"LOC101929745",0,0,0,0,0,0
"LOC101929747",4,8,4,4,6,4
"LOC101929748",2,0,0,0,0,0
